Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (10),171677,164352,14091,0,13875,216,68128803335,65949565727,216
Lookahead (1),171677,164352,14091,0,10034,4057,18096821014,16763425916,8114
Lookahead (2),171677,164352,14091,0,12099,1992,13082222591,11844812286,5976
Lookahead (3),171677,164352,14091,0,12883,1208,12210451015,10960822768,4832
Lookahead (4),171677,164352,14091,0,13283,808,9993293006,8825804840,4040
Lookahead (5),171677,164352,14091,0,13503,588,8502508663,7343573595,3528
Lookahead (10),171677,164352,14091,0,13917,174,5064423026,3894243461,1914
Lookahead (20),171677,164352,14091,0,14037,54,4049322700,2680378663,1134
Lookahead (30),171677,164352,14091,0,14069,22,3330824008,1824313761,682
Lookahead (40),171677,164352,14091,0,14077,14,3547645198,1757850876,574
Lookahead (50),171677,164352,14091,0,14081,10,3927247063,1681979984,510
Lookahead (60),171677,164352,14091,0,14085,6,3619061070,1426203427,366
Lookahead (70),171677,164352,14091,0,14085,6,4887299784,1841252204,426
Lookahead (80),171677,164352,14091,0,14087,4,5009631225,1476530337,324
Lookahead (90),171677,164352,14091,0,14088,3,4335340796,1337607482,273
Lookahead (100),171677,164352,14091,0,14088,3,5491466301,1600531162,303
Null Prefetcher,171677,164352,14091,0,5109,8982,20201023408,19302574261,8982
Block (1),171677,164352,14091,0,5109,8982,495440621983,493593050988,8982
Block (10),171677,164352,14091,0,5110,8981,489934806914,488213040771,8981
Block (50),171677,164352,14091,0,5118,8973,506078232984,504331453912,8973
Block (100),171677,164352,14091,0,5160,8931,485389212394,483751995674,8931
Block (250),171677,164352,14091,0,5600,8491,470168417752,468457382504,8491
Block (500),171677,164352,14091,0,6768,7323,406451208977,404924637867,7323
Block (1000),171677,164352,14091,0,10431,3660,197182348865,196017235847,3660
Block (5000),171677,164352,14091,0,13770,321,19004831539,17299313447,321
Block (10000),171677,164352,14091,0,13990,101,13567355196,8933860809,101
Block (20000),171677,164352,14091,0,14059,32,15414254403,2788024570,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7873177462,6696751167,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,3979768663,3107496346,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2876101855,2031972138,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2351638531,1535005600,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2167264298,1349791794,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,2848388778,1944519553,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5313895732,3955682992,423
